"img-link href","photo-count","list-view-price","currency","list-view-date","left","celly","celly 2","celly 3","celly 4","eids-badge__description","he-lazy-image src","eids-badge__label","list-view-location","img-wrp href","he-lazy-image src 2","he-lazy-image src 3","listing-card--owner-info__firm-name","listing-card--owner-info__name","list-view-header"
"https://www.hepsiemlak.com/istanbul-beyoglu-kaptanpasa-kiralik/daire/71323-504","31","22.500","TL","25-06-2025","Kiralık Daire","2 +
                          1","75 m²","30
                        Yaşında","5. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","İstanbul / Beyoğlu / Kaptanpaşa Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/3/5/0/4/6/7/4/4/1749586349467-44764053.jpg","","","","Beyoğlu Kasımpaşa Kulaksız Eşyalı Doğalgazlı 2+1 Daıre Kat 5 Aıle Apartmanı Son Fıyattır"
"https://www.hepsiemlak.com/balikesir-bandirma-17-eylul-kiralik/daire/0-44839954","5","15.500","TL","25-06-2025","Kiralık Daire","1 +
                          1","60 m²","4
                        Yaşında","Ara Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Balıkesir / Bandırma / 17 Eylül Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/5/9/9/3/8/4/4/SzFV8NYJ9coD6myVoXnoc.jpg","","","","Kiralik 1 Arti 1 Daire"
"https://www.hepsiemlak.com/hatay-antakya-serinyol-kiralik/daire/140966-135","5","16.000","TL","25-06-2025","Kiralık Daire","1 +
                          1","65 m²","5
                        Yaşında","En Üst Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Hatay / Antakya / Serinyol Mah.","https://www.hepsiemlak.com/emlak-ofisi/semra-emlak-140966","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/3/5/6/7/2/8/4/4/1750615851531-44827653.jpg","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/6/6/9/0/4/1/cf34429a-d723-4034-bc76-da7fd8c7e180.jpg","Semra Emlak","","Serinyol Mustafa Kemal Üniverstesi Karşısı Kiralık 1+1 Klimalı Daire"
"https://www.hepsiemlak.com/istanbul-bakirkoy-atakoy-7-8-9-10-kisim-kiralik/daire/158840-6","5","28.000","TL","25-06-2025","Kiralık Daire","1 +
                          1","55 m²","5
                        Yaşında","17. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","İstanbul / Bakırköy / Ataköy 7-8-9-10. Kısım Mah.","https://www.hepsiemlak.com/emlak-ofisi/world-on-key-gayrimenkul-danismanlik-158840","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/6/1/7/4/6/4/4/1748955221-500349-44647164.jpeg","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/0/4/8/8/5/1/83225e7b-d748-4c65-a0df-2505df04634d.jpg","World On Key Gayrimenkul Danışmanlık","","World On Key’den Nef Ataköy'de Kiralık 1+1"
"https://www.hepsiemlak.com/erzurum-yakutiye-lalapasa-kiralik/daire/129742-135","9","13.000","TL","25-06-2025","Kiralık Daire","2 +
                          1","70 m²","7
                        Yaşında","7. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Erzurum / Yakutiye / Lalapaşa Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/7/4/3/3/8/4/4/1750707298-304136-44833479.jpeg","","","","Uluçınar Gm’den Şehir Merkezinde 2+1 Full Eşyalı Kiralık Daire"
"https://www.hepsiemlak.com/balikesir-bandirma-ihsaniye-kiralik/daire/7767-4554","21","16.000","TL","25-06-2025","Kiralık Daire","3 +
                          1","135 m²","27
                        Yaşında","4. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Balıkesir / Bandırma / İhsaniye Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/2/7/7/9/7/4/4/8e683f20-53ae-44d3-8d01-2ce27dc34258.jpg","","","","Şeker Emlak İhsaniye Mahallesi Kurtuluş Caddesi Üzerinde"
"https://www.hepsiemlak.com/balikesir-karesi-kizpinar-kiralik/daire/136014-84","9","12.000","TL","25-06-2025","Kiralık Daire","2 +
                          1","90 m²","25
                        Yaşında","4. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Balıkesir / Karesi / Kızpınar Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/2/1/5/5/6/4/4/0b3f3540-d290-481c-8f7c-292a4fd2f676.jpg","","","","Kiralık Daire"
"https://www.hepsiemlak.com/aydin-efeler-cumhuriyet-kiralik/daire/95325-548","21","18.000","TL","25-06-2025","Kiralık Daire","3 +
                          1","115 m²","25
                        Yaşında","1. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Aydın / Efeler / Cumhuriyet Mah.","https://www.hepsiemlak.com/emlak-ofisi/metropol-gayrimenkul-95325/baris-mayadag-1983578","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/8/2/0/0/4/4/4/1743174049674-44400286.jpg","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/8/7/5/3/8/9/1/bdcf4b01-65cc-4e7b-b0f4-34a5996b1c73.jpeg","Metropol Gayrimenkul","Barış
          Mayadağ","Efeler'de Kiralık Doğalgazlı 3+1 Daire"
"https://www.hepsiemlak.com/ankara-golbasi-incek-kiralik/daire/94790-928","19","26.500","TL","25-06-2025","Kiralık Daire","1 +
                          1","95 m²","10
                        Yaşında","Kot 1","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Ankara / Gölbaşı / İncek Mah.","https://www.hepsiemlak.com/emlak-ofisi/eylul-gayrimenkul-94790/eylul-gayrimenkul-1968277","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/3/5/7/0/3/2/4/547fc2f1-56b8-43ac-9aae-dca0dae9423c.jpg","https://www.hepsiemlak.com/_nuxt/img/no-image-user.6f6a83e.svg","Eylül Gayrimenkul","Eylül
          Gayrimenkul","İncek Vadi Konutları Buyuk Tıp Kiralık 1+buçuk Daire"
"https://www.hepsiemlak.com/istanbul-beyoglu-kamer-hatun-kiralik/daire/22475-3051","11","20.000","TL","25-06-2025","Kiralık Daire","Stüdyo","20 m²","30
                        Yaşında","3. Kat","","","","İstanbul / Beyoğlu / Kamer Hatun Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/7/6/7/1/8/4/4/1750420831755-44817679.jpg","","","","Beyoğlu  Kamer  Hatunda  Eşyalı  Faturalar  İçinde  1+0  Sututyo  20  M2  Kat  3"
"https://www.hepsiemlak.com/istanbul-beylikduzu-adnan-kahveci-kiralik/daire/71801-1166","11","32.000","TL","25-06-2025","Kiralık Daire","3 +
                          1","165 m²","15
                        Yaşında","10. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","İstanbul / Beylikdüzü / Adnan Kahveci Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/9/5/2/9/7/4/4/04e82830-c527-4148-9d1f-7c2c0312a2c5.jpg","","","","Beylikdüzü Adnan Kahvecide 3+1 Metrobüs Yaşam Vadisi Yakını Kiralık Daire"
"https://www.hepsiemlak.com/istanbul-fatih-koca-mustafapasa-kiralik/daire/113019-1428","20","23.000","TL","24-06-2025","Kiralık Daire","2 +
                          1","75 m²","40
                        Yaşında","Giriş Katı","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","İstanbul / Fatih / Koca Mustafapaşa Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/8/7/8/3/8/4/4/93ad7402-cd30-4d76-9f19-eea7771e4877.jpg","","","","Kocamustafapaşa İftariye Sokakta  Kiralık  Giriş Kat 2+1"
"https://www.hepsiemlak.com/ankara-cankaya-buyukesat-kiralik/daire/1248-2501","20","27.000","TL","25-06-2025","Kiralık Daire","1 +
                          1","70 m²","4
                        Yaşında","5. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Ankara / Çankaya / Büyükesat Mah.","https://www.hepsiemlak.com/emlak-ofisi/karan-gayrimenkul-1248/ufuk-karan-1248","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/9/2/1/2/5/4/4/274c908d-6d70-4cbf-b9bc-be96874fb171.jpg","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/8/4/2/1/0/0/c7d6b60b-821e-4449-87cb-4fd598380597.jpg","Karan Gayrimenkul","Ufuk
          Karan","Gaziosmanpaşa Uğurmumcu Cad.Yanı 1+1 Yakıt Aidat İnternet Dahil Mobilyalı Kiralık Daire"
"https://www.hepsiemlak.com/izmir-karabaglar-general-kazim-ozalp-kiralik/daire/42120-1209","20","22.500","TL","25-06-2025","Kiralık Daire","2 +
                          1","85 m²","10
                        Yaşında","3. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","İzmir / Karabağlar / General Kazım Özalp Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/3/3/4/9/9/4/4/4/1745057513-803041-44499433.jpeg","","","","2+1 Bakımlı Kombili Daire"
